# top domain
cd .hu .sex
cd .hu .shop
cd .hu .sport
cd .hu .suli
cd .hu .szex
cd .hu .tm
cd .hu .tozsde
cd .hu .utazas
cd .hu .video
cd .hk .idv
cd .hn .gob
cd .vn .ac
cd .vn .health
cd .me .ac
cd .me .co
cd .me .its
cd .me .priv
cd .mg .nom
cd .mg .prd
cd .mg .tm
cd .ma .ac
cd .ma .co
cd .ma .press
cd .mc .asso
cd .mc .tm
cd .us .ak
cd .us .al
cd .us .ar
cd .us .az
cd .us .ca
cd .us .co
cd .us .ct
cd .us .dc
cd .us .de
cd .us .dni
cd .us .fed
cd .us .fl
cd .us .ga
cd .us .hi
cd .us .ia
cd .us .id
cd .us .il
cd .us .in
cd .us .isa
cd .us .kids
cd .us .ks
cd .us .ky
cd .us .la
cd .us .ma
cd .us .md
cd .us .me
cd .us .mi
cd .us .mn
cd .us .mo
cd .us .ms
cd .us .mt
cd .us .nc
cd .us .nd
cd .us .ne
cd .us .nh
cd .us .nj
cd .us .nm
cd .us .nsn
cd .us .nv
cd .us .ny
cd .us .oh
cd .us .ok
cd .us .or
cd .us .pa
cd .us .ri
cd .us .sc
cd .us .sd
cd .us .tn
cd .us .tx
cd .us .ut
cd .us .va
cd .us .vt
cd .us .wa
cd .us .wi
cd .us .wv
cd .us .wy
cd .mu .co
cd .mt .tm
cd .mt .uu
cd .mw .ac
cd .mw .co
cd .uk .ac
cd .uk .bl
cd .uk .british-library
cd .uk .co
cd .uk .icnet
cd .uk .jet
cd .uk .ltd
cd .uk .me
cd .uk .mod
cd .uk .national-library-scotland
cd .uk .nhs
cd .uk .nic
cd .uk .nls
cd .uk .parliament
cd .uk .plc
cd .uk .police
cd .uk .sch
cd .im .ac
cd .im .co
cd .im .nic
cd .ug .ac
cd .ug .co
cd .ug .go
cd .ug .ne
cd .ug .or
cd .ug .sc
cd .ua .cherkassy
cd .ua .chernigov
cd .ua .chernovtsy
cd .ua .ck
cd .ua .cn
cd .ua .co
cd .ua .crimea
cd .ua .cv
cd .ua .dn
cd .ua .dnepropetrovsk
cd .ua .donetsk
cd .ua .dp
cd .ua .if
cd .ua .in
cd .ua .ivano-frankivsk
cd .ua .kh
cd .ua .kharkov
cd .ua .kherson
cd .ua .khmelnitskiy
cd .ua .kiev
cd .ua .kirovograd
cd .ua .km
cd .ua .kr
cd .ua .ks
cd .ua .kv
cd .ua .lg
cd .ua .lugansk
cd .ua .lutsk
cd .ua .lviv
cd .ua .mk
cd .ua .nikolaev
cd .ua .od
cd .ua .odessa
cd .ua .pl
cd .ua .poltava
cd .ua .rovno
cd .ua .rv
cd .ua .sebastopol
cd .ua .sumy
cd .ua .te
cd .ua .ternopil
cd .ua .uzhgorod
cd .ua .vinnica
cd .ua .vn
cd .ua .zaporizhzhe
cd .ua .zhitomir
cd .ua .zp
cd .ua .zt
cd .mx .gob
cd .il .ac
cd .il .co
cd .il .idf
cd .il .k12
cd .il .muni
cd .va .vatican
cd .ae .ac
cd .ae .co
cd .ae .sch
cd .ad .nom
cd .ag .co
cd .ag .nom
cd .ai .off
cd .vi .co
cd .pro .cpa
cd .pro .law
cd .pro .med
cd .ir .ac
cd .ir .co
cd .ir .id
cd .ir .sch
cd .ao .co
cd .ao .ed
cd .ao .gv
cd .ao .it
cd .ao .og
cd .ao .pb
cd .au .act
cd .au .asn
cd .au .conf
cd .au .csiro
cd .au .id
cd .au .nsw
cd .au .nt
cd .au .otc
cd .au .oz
cd .au .qld
cd .au .sa
cd .au .tas
cd .au .telememo
cd .au .vic
cd .au .wa
cd .at .ac
cd .at .co
cd .at .gv
cd .at .or
cd .at .priv
cd .in .ac
cd .in .co
cd .in .ernet
cd .in .firm
cd .in .gen
cd .in .ind
cd .in .nic
cd .in .res
cd .az .pp
cd .id .ac
cd .id .co
cd .id .go
cd .id .or
cd .id .sch
cd .id .web
cd .ni .gob
cd .ni .nom
cd .mil .army
cd .mil .navy
cd .no .fhs
cd .no .folkebibl
cd .no .fylkesbibl
cd .no .herad
cd .no .idrett
cd .no .kommune
cd .no .priv
cd .no .stat
cd .no .vgs
cd .na .alt
cd .na .cul
cd .na .telecom
cd .na .unam
cd .ng .ac
cd .ng .sch
cd .nz .ac
cd .nz .co
cd .nz .cri
cd .nz .geek
cd .nz .gen
cd .nz .govt
cd .nz .iwi
cd .nz .maori
cd .nz .school
cd .nz .parliament
cd .nr .co
cd .nr .fax
cd .nr .mob
cd .nr .mobil
cd .nr .mobile
cd .nr .tlf
cd .fr .aeroport
cd .fr .assedic
cd .fr .asso
cd .fr .avocat
cd .fr .avoues
cd .fr .barreau
cd .fr .cci
cd .fr .chambagri
cd .fr .chirurgiens-dentistes
cd .fr .experts-comptables
cd .fr .geometre-expert
cd .fr .gouv
cd .fr .greta
cd .fr .huissier-justice
cd .fr .medecin
cd .fr .nom
cd .fr .notaires
cd .fr .pharmacien
cd .fr .port
cd .fr .prd
cd .fr .presse
cd .fr .tm
cd .fr .veterinaire
cd .fi .aland
cd .fj .ac
cd .fj .id
cd .fj .school
cd .fk .ac
cd .fk .co
cd .fk .nom
cd .mobi .music
cd .mobi .weather
cd .ke .ac
cd .ke .co
cd .ke .go
cd .ke .ne
cd .ke .new
cd .ke .or
cd .ke .sc
cd .kh .per
cd .sv .gob
cd .sv .red
cd .st .co
cd .st .consulado
cd .st .embaixada
cd .st .principe
cd .st .saotome
cd .st .store
cd .kr .ac
cd .kr .busan
cd .kr .chungbuk
cd .kr .chungnam
cd .kr .co
cd .kr .daegu
cd .kr .daejeon
cd .kr .es
cd .kr .gangwon
cd .kr .go
cd .kr .gwangju
cd .kr .gyeongbuk
cd .kr .gyeonggi
cd .kr .gyeongnam
cd .kr .hs
cd .kr .incheon
cd .kr .jeju
cd .kr .jeonbuk
cd .kr .jeonnam
cd .kr .kg
cd .kr .kyonggi
cd .kr .ms
cd .kr .ne
cd .kr .or
cd .kr .pe
cd .kr .re
cd .kr .sc
cd .kr .seoul
cd .kr .ulsan
cd .sa .med
cd .sa .pub
cd .sa .sch
cd .sg .idn
cd .sg .per
cd .se .ab
cd .se .ac
cd .se .bd
cd .se .brand
cd .se .c
cd .se .d
cd .se .e
cd .se .f
cd .se .fh
cd .se .fhsk
cd .se .fhv
cd .se .g
cd .se .h
cd .se .i
cd .se .k
cd .se .komforb
cd .se .kommunalforbund
cd .se .komvux
cd .se .lanarb
cd .se .lanbib
